"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16"
"1",8,6,4,NA,NA,NA,NA,NA,4,6,NA,NA,NA,NA,NA,9
"2",8,NA,9,NA,NA,NA,NA,NA,6,NA,NA,7,NA,7,NA,5
"3",NA,NA,7,NA,7,NA,6,8,NA,NA,NA,8,NA,NA,7,NA
"4",NA,9,NA,NA,NA,9,6,NA,4,NA,NA,4,NA,NA,NA,8
"5",7,NA,NA,NA,NA,6,NA,NA,NA,NA,3,NA,NA,5,8,8
"6",NA,9,NA,NA,8,NA,7,8,NA,7,NA,NA,8,NA,NA,NA
"7",9,NA,7,NA,NA,NA,8,8,6,NA,NA,NA,NA,8,NA,NA
"8",6,6,NA,NA,6,8,7,NA,NA,NA,8,NA,NA,NA,NA,NA
"9",NA,NA,8,NA,NA,NA,NA,NA,NA,7,NA,7,NA,4,8,6
"10",NA,NA,NA,NA,NA,NA,NA,8,NA,4,NA,8,7,NA,9,6
"11",NA,NA,NA,NA,7,2,7,8,NA,NA,4,NA,7,NA,NA,NA
"12",7,NA,6,NA,7,NA,4,NA,2,8,NA,NA,NA,NA,NA,NA
"13",NA,1,NA,NA,NA,NA,NA,7,NA,8,3,NA,1,NA,NA,8
"14",NA,7,NA,6,4,8,NA,NA,NA,NA,6,NA,7,NA,NA,NA
"15",6,NA,NA,NA,4,NA,NA,7,NA,6,6,NA,NA,NA,6,NA
"16",2,2,7,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,8,NA,8
"17",NA,8,NA,5,NA,NA,NA,NA,4,4,NA,7,NA,NA,NA,6
"18",7,NA,9,NA,2,NA,NA,NA,NA,6,NA,NA,8,NA,NA,7
"19",NA,NA,NA,7,7,8,NA,7,NA,NA,NA,NA,3,4,NA,NA
"20",4,7,7,7,NA,8,NA,NA,NA,NA,6,NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,3,NA,NA,7,3,3,NA,4,6,NA,NA,NA
"22",4,NA,8,NA,4,NA,NA,9,NA,NA,6,NA,NA,NA,7,NA
"23",NA,NA,NA,8,8,6,NA,NA,7,7,NA,NA,NA,NA,8,NA
"24",7,NA,8,NA,8,8,7,NA,6,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA,6,8,8,NA,NA,8,9,NA,NA,6
"26",7,NA,7,NA,7,NA,NA,7,NA,NA,NA,6,NA,NA,NA,6
"27",NA,6,NA,2,NA,NA,NA,NA,6,NA,5,8,NA,3,NA,NA
"28",NA,NA,NA,4,7,NA,NA,4,NA,NA,7,NA,8,7,NA,NA
"29",5,NA,9,NA,7,NA,4,8,NA,NA,NA,6,NA,NA,NA,NA
"30",NA,NA,8,NA,4,NA,7,6,NA,NA,NA,NA,NA,2,4,NA
"31",7,NA,NA,6,NA,9,NA,8,4,NA,NA,NA,NA,8,NA,NA
"32",NA,NA,NA,6,NA,NA,6,8,4,7,NA,NA,7,NA,NA,NA
"33",NA,9,NA,7,NA,8,NA,NA,6,7,4,NA,NA,NA,NA,NA
"34",NA,1,NA,NA,NA,8,7,NA,NA,NA,1,NA,NA,NA,7,9
"35",6,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,3,8,5
"36",NA,4,NA,7,NA,NA,NA,NA,NA,8,NA,5,7,NA,8,NA
"37",NA,NA,NA,NA,7,9,NA,NA,NA,8,NA,NA,NA,6,7,7
"38",7,NA,NA,4,NA,NA,NA,7,NA,NA,3,NA,5,8,NA,NA
"39",7,9,NA,NA,NA,8,NA,NA,NA,NA,5,NA,NA,NA,6,3
"40",NA,NA,NA,NA,NA,7,6,8,NA,NA,NA,NA,4,NA,3,5
"41",NA,5,NA,NA,7,NA,8,NA,NA,3,NA,8,5,NA,NA,NA
"42",NA,NA,NA,NA,8,8,NA,NA,NA,4,NA,8,6,NA,NA,7
"43",NA,4,NA,7,NA,9,NA,7,4,NA,7,NA,NA,NA,NA,NA
"44",1,NA,8,NA,NA,7,8,NA,NA,NA,NA,NA,NA,1,9,NA
"45",NA,NA,8,6,NA,NA,NA,8,6,7,NA,NA,NA,7,NA,NA
"46",NA,NA,NA,NA,7,7,NA,NA,4,NA,NA,5,8,NA,NA,8
"47",2,7,3,NA,6,NA,5,NA,NA,2,NA,NA,NA,NA,NA,NA
"48",8,3,NA,NA,NA,NA,NA,8,NA,NA,8,NA,NA,NA,7,7
"49",6,3,NA,7,NA,NA,NA,NA,NA,8,6,NA,3,NA,NA,NA
"50",7,7,NA,NA,NA,7,NA,NA,NA,NA,4,NA,6,NA,NA,6
"51",NA,NA,NA,NA,NA,9,NA,NA,NA,6,NA,7,NA,9,8,7
"52",NA,NA,8,NA,8,NA,NA,NA,NA,NA,NA,6,NA,7,8,8
"53",NA,3,NA,6,NA,NA,NA,NA,2,NA,7,7,NA,NA,2,NA
"54",NA,8,NA,7,NA,NA,NA,8,6,8,NA,NA,4,NA,NA,NA
"55",NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA,7,NA,2,6,6
"56",8,NA,8,NA,NA,9,NA,NA,NA,NA,NA,6,NA,6,NA,6
"57",NA,9,NA,7,NA,NA,NA,NA,NA,7,NA,9,NA,6,8,NA
"58",4,NA,NA,7,NA,NA,NA,8,NA,NA,3,NA,NA,4,7,NA
"59",4,NA,5,NA,NA,6,2,NA,NA,6,NA,NA,NA,NA,6,NA
"60",4,NA,NA,NA,NA,7,NA,NA,3,6,NA,NA,NA,4,NA,8
"61",NA,NA,NA,NA,8,9,8,7,NA,NA,4,NA,5,NA,NA,NA
"62",6,NA,6,NA,NA,8,5,NA,3,NA,NA,NA,NA,2,NA,NA
"63",NA,NA,NA,6,NA,NA,NA,NA,4,NA,NA,7,7,4,NA,7
"64",NA,9,NA,NA,NA,9,NA,NA,NA,6,NA,7,9,NA,8,NA
"65",NA,NA,NA,4,NA,7,3,6,NA,NA,NA,NA,NA,7,5,NA
"66",NA,NA,NA,NA,NA,8,5,NA,NA,NA,NA,7,NA,7,6,6
"67",9,8,NA,NA,NA,NA,NA,NA,NA,NA,8,8,7,NA,NA,9
"68",NA,NA,NA,NA,NA,5,4,6,5,NA,NA,NA,NA,4,NA,3
"69",7,7,7,NA,NA,NA,5,NA,8,NA,NA,NA,NA,NA,NA,8
"70",4,8,7,NA,NA,NA,NA,7,NA,NA,8,NA,NA,NA,8,NA
"71",NA,4,NA,NA,7,8,NA,NA,NA,NA,2,NA,NA,NA,6,5
"72",8,7,6,NA,NA,NA,NA,NA,NA,NA,7,NA,6,NA,NA,5
"73",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,4,6,NA,7,7,3
"74",NA,3,NA,NA,NA,6,2,NA,NA,NA,NA,6,NA,5,4,NA
"75",NA,NA,NA,NA,7,8,NA,7,NA,8,NA,NA,NA,7,7,NA
"76",3,NA,6,NA,NA,NA,NA,2,NA,3,NA,NA,NA,3,NA,2
"77",7,8,8,NA,7,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,7
"78",NA,NA,NA,6,7,8,NA,9,NA,NA,4,NA,6,NA,NA,NA
"79",NA,NA,8,NA,7,NA,NA,7,NA,NA,NA,4,NA,NA,8,4
"80",NA,8,NA,7,NA,8,6,NA,6,NA,NA,NA,6,NA,NA,NA
"81",NA,NA,NA,NA,6,NA,NA,NA,NA,NA,8,4,8,3,NA,8
"82",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,4,2,NA,4,7,4
"83",NA,9,NA,NA,NA,NA,NA,NA,4,8,NA,6,7,NA,NA,7
"84",NA,NA,NA,6,NA,NA,NA,NA,4,8,NA,7,NA,4,4,NA
"85",3,NA,8,NA,6,NA,NA,NA,NA,NA,NA,4,3,NA,NA,8
"86",5,6,4,2,NA,NA,NA,NA,4,NA,NA,5,NA,NA,NA,NA
"87",NA,3,NA,NA,5,NA,NA,NA,4,NA,3,7,NA,NA,NA,4
"88",NA,NA,8,NA,NA,6,6,NA,8,NA,NA,5,NA,NA,7,NA
"89",NA,8,NA,NA,6,7,7,8,6,NA,NA,NA,NA,NA,NA,NA
"90",NA,NA,NA,NA,NA,7,4,NA,9,NA,9,NA,NA,9,NA,8
"91",NA,4,NA,NA,NA,8,NA,NA,NA,7,NA,NA,NA,8,7,9
"92",8,NA,9,8,NA,NA,NA,9,NA,NA,NA,9,NA,6,NA,NA
"93",NA,NA,NA,7,NA,NA,8,9,NA,NA,3,NA,1,7,NA,NA
"94",NA,NA,NA,NA,7,8,NA,NA,6,8,NA,NA,7,NA,NA,8
"95",NA,NA,NA,7,NA,NA,NA,NA,7,NA,6,8,NA,3,4,NA
"96",NA,NA,NA,NA,NA,NA,5,NA,7,5,NA,5,4,NA,8,NA
"97",NA,8,NA,NA,NA,NA,7,NA,6,8,NA,7,NA,8,NA,NA
"98",NA,NA,NA,7,NA,NA,3,7,NA,NA,NA,5,NA,8,5,NA
"99",NA,9,NA,5,NA,NA,5,9,NA,NA,3,NA,NA,NA,6,NA
"100",NA,NA,NA,7,4,NA,NA,8,NA,8,NA,4,4,NA,NA,NA
"101",6,NA,NA,NA,NA,NA,8,NA,NA,NA,2,NA,NA,6,4,4
"102",7,7,NA,NA,NA,NA,8,8,NA,NA,2,NA,NA,4,NA,NA
"103",NA,NA,NA,2,NA,NA,NA,NA,7,NA,6,3,NA,7,NA,2
"104",NA,8,NA,NA,NA,NA,NA,NA,NA,5,NA,6,6,NA,8,6
"105",NA,NA,7,9,NA,NA,9,8,2,NA,NA,NA,3,NA,NA,NA
"106",NA,7,NA,NA,5,NA,NA,8,NA,6,NA,NA,3,NA,NA,4
"107",NA,NA,6,NA,7,NA,NA,3,5,NA,NA,7,NA,NA,NA,4
"108",7,NA,NA,NA,3,NA,NA,NA,NA,7,8,3,NA,NA,2,NA
"109",NA,NA,NA,8,9,NA,NA,6,NA,NA,2,5,NA,NA,4,NA
"110",NA,2,NA,NA,4,7,NA,NA,NA,NA,NA,1,2,NA,NA,6
"111",NA,8,NA,NA,8,7,NA,NA,NA,NA,NA,8,NA,4,NA,6
"112",NA,2,NA,NA,9,NA,NA,7,NA,4,NA,3,7,NA,NA,NA
"113",6,8,7,5,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,9,NA
"114",NA,NA,8,6,NA,NA,8,NA,NA,NA,NA,6,NA,7,9,NA
"115",NA,NA,NA,NA,8,NA,NA,4,NA,2,NA,2,NA,8,NA,4
"116",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,6,9,NA,8,4,6
"117",8,NA,NA,4,NA,NA,NA,6,NA,NA,7,NA,9,8,NA,NA
"118",NA,NA,8,NA,NA,NA,3,5,NA,NA,NA,NA,NA,3,6,5
"119",NA,4,9,8,NA,8,7,NA,NA,NA,NA,NA,NA,NA,7,NA
"120",NA,NA,NA,NA,5,8,NA,NA,NA,8,NA,NA,6,8,NA,6
"121",3,8,8,NA,NA,NA,NA,NA,2,NA,NA,6,NA,NA,NA,7
"122",6,NA,8,NA,NA,NA,NA,NA,6,NA,NA,8,NA,NA,5,7
"123",4,8,8,NA,7,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,7
"124",9,NA,8,NA,6,NA,NA,4,6,6,NA,NA,NA,NA,NA,NA
"125",1,NA,NA,NA,NA,7,NA,NA,NA,NA,3,NA,4,NA,6,8
"126",5,NA,NA,NA,NA,7,NA,NA,NA,7,NA,NA,8,8,NA,4
"127",NA,NA,NA,NA,7,NA,NA,NA,6,7,NA,8,NA,8,NA,9
"128",NA,8,6,NA,7,7,NA,NA,NA,4,NA,NA,NA,NA,NA,5
"129",7,8,NA,NA,NA,NA,NA,6,NA,8,4,NA,4,NA,NA,NA
"130",NA,NA,8,NA,9,NA,NA,9,4,NA,NA,8,NA,NA,NA,7
"131",NA,NA,NA,NA,NA,NA,NA,8,NA,7,NA,NA,7,7,8,8
"132",7,8,NA,NA,NA,NA,NA,NA,NA,8,9,NA,9,NA,NA,8
"133",NA,NA,NA,6,NA,8,NA,8,2,8,NA,NA,NA,NA,7,NA
"134",4,NA,8,6,6,NA,NA,8,NA,NA,NA,NA,NA,NA,6,NA
"135",NA,9,NA,2,8,NA,NA,NA,NA,1,NA,7,8,NA,NA,NA
"136",2,NA,8,NA,NA,NA,NA,7,NA,NA,6,NA,NA,3,NA,7
"137",NA,NA,NA,7,NA,9,NA,8,1,8,NA,NA,NA,6,NA,NA
"138",6,NA,7,NA,8,NA,6,NA,4,NA,5,NA,NA,NA,NA,NA
"139",7,NA,9,3,8,NA,NA,NA,NA,7,NA,NA,4,NA,NA,NA
"140",6,8,NA,5,NA,NA,NA,NA,NA,7,7,NA,7,NA,NA,NA
"141",8,9,8,7,NA,7,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"142",7,NA,9,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,2,8
"143",8,NA,NA,NA,NA,NA,NA,8,8,4,2,NA,NA,2,NA,NA
"144",NA,8,6,2,8,NA,NA,NA,8,NA,NA,1,NA,NA,NA,NA
"145",NA,NA,7,NA,NA,NA,7,NA,6,NA,NA,4,NA,6,NA,6
"146",8,7,NA,8,NA,8,NA,NA,6,9,NA,NA,NA,NA,NA,NA
"147",8,NA,NA,NA,NA,8,7,8,NA,NA,7,NA,6,NA,NA,NA
"148",7,NA,8,NA,NA,NA,NA,NA,6,NA,NA,8,NA,8,NA,6
"149",NA,NA,NA,5,NA,NA,NA,8,4,NA,8,NA,NA,6,NA,7
"150",3,7,NA,6,NA,4,NA,NA,NA,NA,4,NA,NA,NA,6,NA
"151",NA,NA,NA,NA,7,9,NA,NA,1,4,NA,NA,NA,NA,3,8
"152",NA,NA,NA,NA,5,7,NA,NA,1,6,NA,6,NA,NA,NA,6
"153",NA,NA,7,5,NA,NA,6,NA,NA,NA,NA,3,NA,6,4,NA
"154",NA,NA,NA,NA,7,7,NA,5,NA,6,NA,NA,NA,6,8,NA
"155",7,NA,3,NA,NA,NA,7,NA,6,NA,NA,6,NA,NA,NA,6
"156",6,7,7,NA,NA,6,NA,NA,NA,7,NA,NA,NA,NA,8,NA
"157",NA,NA,NA,4,NA,7,NA,NA,8,2,NA,NA,8,6,NA,NA
"158",NA,NA,NA,8,NA,6,NA,NA,3,NA,NA,7,NA,9,9,NA
"159",NA,NA,NA,NA,4,7,NA,NA,NA,8,NA,7,8,NA,6,NA
"160",7,NA,NA,2,NA,NA,NA,6,8,1,NA,NA,NA,NA,7,NA
"161",7,3,NA,NA,NA,NA,8,NA,NA,NA,8,NA,NA,4,7,NA
"162",NA,NA,9,NA,5,NA,2,8,2,NA,NA,NA,3,NA,NA,NA
"163",NA,NA,NA,NA,7,NA,NA,NA,NA,8,7,7,6,NA,4,NA
"164",NA,8,6,2,NA,NA,NA,NA,NA,NA,3,3,6,NA,NA,NA
"165",7,NA,NA,8,NA,9,NA,NA,NA,8,NA,NA,4,NA,6,NA
"166",6,3,NA,NA,NA,8,NA,NA,NA,NA,2,NA,6,NA,NA,9
"167",7,NA,9,NA,8,NA,NA,NA,NA,8,NA,NA,8,NA,NA,7
"168",NA,NA,NA,NA,6,NA,NA,NA,2,2,NA,3,6,NA,NA,7
"169",NA,NA,NA,5,NA,NA,NA,NA,7,5,NA,7,8,8,NA,NA
"170",6,NA,7,NA,5,NA,NA,5,4,6,NA,NA,NA,NA,NA,NA
"171",NA,2,NA,NA,3,NA,NA,NA,NA,NA,8,8,4,NA,NA,8
"172",NA,NA,NA,8,NA,4,NA,2,6,6,NA,NA,NA,7,NA,NA
"173",4,NA,8,NA,NA,NA,NA,NA,NA,8,NA,5,NA,5,NA,7
"174",4,NA,NA,7,NA,9,7,NA,8,NA,NA,NA,NA,6,NA,NA
"175",NA,NA,NA,5,NA,6,NA,6,6,NA,7,NA,2,NA,NA,NA
"176",6,8,NA,2,NA,NA,NA,8,NA,NA,7,NA,7,NA,NA,NA
"177",3,NA,NA,NA,NA,NA,7,2,NA,8,NA,NA,7,5,NA,NA
"178",NA,4,8,6,NA,NA,NA,NA,2,NA,6,8,NA,NA,NA,NA
"179",NA,8,NA,6,NA,NA,NA,8,NA,6,6,NA,NA,NA,7,NA
"180",NA,NA,NA,7,9,NA,NA,9,NA,NA,7,NA,2,1,NA,NA
"181",NA,NA,NA,2,8,4,NA,3,NA,NA,4,NA,NA,NA,8,NA
"182",NA,NA,NA,NA,NA,NA,6,NA,7,4,NA,2,NA,5,4,NA
"183",NA,9,NA,NA,NA,NA,7,NA,7,NA,6,8,NA,4,NA,NA
"184",NA,5,NA,NA,NA,NA,NA,NA,7,7,NA,8,8,NA,NA,6
"185",NA,NA,NA,9,NA,NA,NA,9,8,9,8,NA,NA,8,NA,NA
"186",NA,NA,7,NA,NA,NA,NA,NA,NA,7,NA,7,NA,5,7,8
"187",NA,NA,NA,7,8,NA,NA,NA,1,3,NA,3,6,NA,NA,NA
"188",NA,NA,NA,NA,NA,NA,7,NA,7,3,NA,3,NA,3,7,NA
"189",7,NA,NA,NA,NA,7,6,NA,NA,NA,3,NA,NA,1,8,NA
"190",8,9,2,NA,NA,NA,NA,6,NA,7,3,NA,NA,NA,NA,NA
"191",3,NA,NA,NA,7,NA,NA,NA,NA,4,6,NA,NA,2,NA,7
"192",7,8,NA,6,NA,NA,NA,7,NA,6,NA,NA,NA,7,NA,NA
"193",NA,NA,9,NA,7,9,NA,NA,NA,4,NA,NA,NA,9,8,NA
"194",8,8,NA,7,NA,NA,NA,7,NA,NA,3,NA,NA,8,NA,NA
"195",5,NA,8,NA,7,NA,7,NA,NA,NA,7,NA,NA,5,NA,NA
"196",NA,NA,6,NA,4,3,NA,NA,NA,2,2,NA,NA,NA,4,NA
"197",NA,4,4,6,3,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,5
"198",NA,4,NA,NA,8,NA,NA,NA,6,7,NA,6,NA,NA,NA,8
"199",NA,8,NA,6,NA,NA,NA,NA,NA,NA,3,6,4,NA,NA,9
"200",NA,NA,NA,7,NA,7,6,6,5,NA,NA,NA,NA,5,NA,NA
"201",NA,6,9,9,NA,NA,NA,NA,NA,NA,NA,8,7,NA,NA,8
"202",4,NA,NA,NA,NA,7,7,7,NA,NA,7,NA,NA,4,NA,NA
"203",NA,7,NA,NA,5,8,8,NA,NA,NA,NA,7,6,NA,NA,NA
"204",4,NA,8,NA,7,NA,7,NA,2,6,NA,NA,NA,NA,NA,NA
"205",NA,9,6,NA,8,6,NA,NA,NA,NA,5,NA,NA,NA,NA,3
"206",6,NA,7,NA,NA,NA,7,3,NA,NA,NA,NA,NA,8,8,NA
"207",NA,NA,7,5,NA,NA,NA,NA,NA,NA,NA,6,NA,4,7,5
"208",NA,4,8,NA,6,NA,6,NA,NA,NA,NA,4,NA,NA,7,NA
"209",NA,NA,8,NA,4,NA,6,NA,4,NA,NA,3,NA,NA,8,NA
"210",NA,8,NA,NA,NA,NA,5,NA,NA,NA,NA,7,NA,7,7,5
"211",NA,8,9,NA,NA,7,4,NA,NA,NA,NA,NA,NA,7,NA,2
"212",NA,NA,7,NA,NA,NA,4,NA,2,NA,8,7,NA,4,NA,NA
"213",NA,NA,NA,6,8,NA,NA,NA,4,6,NA,7,7,NA,NA,NA
"214",NA,NA,7,NA,4,NA,NA,4,3,NA,NA,6,NA,NA,NA,7
"215",9,NA,NA,8,8,NA,NA,8,NA,NA,2,NA,8,NA,NA,NA
"216",NA,NA,NA,NA,7,8,NA,NA,NA,NA,NA,7,4,7,NA,7
"217",8,NA,9,3,NA,NA,NA,NA,NA,7,NA,NA,NA,7,9,NA
"218",8,NA,8,NA,NA,NA,NA,NA,NA,NA,2,NA,6,7,NA,3
"219",9,NA,7,NA,NA,5,8,NA,7,NA,NA,NA,NA,9,NA,NA
"220",6,NA,NA,NA,7,9,NA,NA,NA,NA,6,NA,7,NA,NA,7
"221",NA,NA,8,NA,6,NA,NA,NA,NA,8,NA,8,NA,NA,7,6
"222",4,8,NA,NA,NA,NA,3,3,NA,6,NA,NA,8,NA,NA,NA
"223",NA,6,5,NA,NA,NA,NA,NA,3,4,NA,6,NA,NA,NA,2
"224",NA,NA,NA,7,NA,8,NA,9,6,NA,7,NA,NA,3,NA,NA
"225",NA,NA,NA,5,NA,NA,7,NA,7,NA,NA,8,9,8,NA,NA
"226",NA,6,NA,6,NA,NA,6,NA,NA,NA,NA,7,4,NA,8,NA
"227",NA,NA,NA,NA,NA,8,6,7,5,NA,NA,NA,NA,8,9,NA
"228",7,8,8,NA,NA,NA,7,NA,NA,NA,6,NA,2,NA,NA,NA
"229",NA,NA,NA,NA,9,8,9,NA,7,4,NA,NA,NA,4,NA,NA
"230",7,7,7,NA,NA,NA,6,NA,7,NA,4,NA,NA,NA,NA,NA
"231",NA,NA,NA,3,NA,7,3,5,NA,NA,NA,NA,NA,5,8,NA
"232",NA,NA,NA,5,7,NA,NA,8,NA,NA,7,NA,9,7,NA,NA
"233",NA,NA,NA,NA,5,NA,NA,NA,NA,7,NA,7,3,NA,8,8
"234",7,NA,9,NA,NA,NA,7,8,NA,NA,8,NA,NA,NA,6,NA
"235",NA,NA,NA,5,NA,8,NA,NA,6,6,NA,NA,NA,5,NA,7
"236",NA,7,NA,2,NA,9,9,8,7,NA,NA,NA,NA,NA,NA,NA
"237",NA,NA,NA,NA,NA,8,NA,NA,6,8,NA,8,2,NA,NA,9
"238",NA,NA,NA,NA,9,NA,NA,9,NA,9,NA,8,8,NA,NA,7
"239",NA,8,NA,2,NA,NA,2,NA,8,NA,NA,6,NA,7,NA,NA
"240",NA,NA,9,6,NA,8,6,NA,NA,NA,NA,NA,NA,8,7,NA
"241",NA,4,NA,7,NA,NA,NA,6,NA,4,3,NA,2,NA,NA,NA
"242",NA,NA,NA,NA,8,6,NA,NA,2,NA,NA,8,NA,4,NA,6
"243",6,NA,8,NA,NA,7,8,NA,NA,NA,NA,NA,NA,6,6,NA
"244",NA,8,NA,NA,NA,9,8,NA,NA,NA,NA,2,NA,NA,9,4
"245",4,1,8,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,3,8
"246",NA,NA,NA,NA,7,8,NA,NA,4,4,NA,NA,4,NA,NA,5
"247",NA,NA,NA,4,NA,9,4,NA,NA,NA,NA,8,NA,7,7,NA
"248",NA,6,NA,7,NA,NA,NA,6,NA,NA,3,7,5,NA,NA,NA
"249",NA,NA,NA,4,NA,NA,NA,8,NA,NA,8,7,NA,7,7,NA
"250",4,8,NA,NA,NA,6,NA,NA,NA,3,2,NA,NA,NA,8,NA
"251",7,NA,NA,NA,8,NA,NA,NA,NA,9,NA,6,1,NA,2,NA
"252",4,NA,3,NA,NA,NA,7,8,2,NA,NA,NA,NA,2,NA,NA
"253",NA,9,NA,NA,7,NA,NA,NA,NA,6,4,4,NA,NA,8,NA
"254",6,NA,8,NA,6,NA,NA,NA,NA,8,NA,NA,NA,3,NA,3
"255",NA,NA,NA,NA,7,8,NA,8,NA,9,NA,NA,NA,3,8,NA
"256",NA,9,NA,5,8,7,NA,NA,NA,4,NA,NA,6,NA,NA,NA
"257",NA,NA,NA,NA,NA,NA,7,6,NA,NA,6,2,NA,3,8,NA
"258",NA,NA,NA,NA,6,8,5,7,5,8,NA,NA,NA,NA,NA,NA
"259",7,NA,8,NA,8,NA,NA,NA,NA,NA,6,NA,NA,3,NA,9
"260",NA,8,NA,NA,NA,7,5,NA,NA,NA,4,NA,NA,NA,7,6
"261",NA,4,8,NA,NA,NA,7,NA,NA,NA,NA,6,7,NA,NA,7
"262",6,8,NA,4,NA,NA,NA,NA,NA,6,2,NA,NA,3,NA,NA
"263",NA,7,NA,NA,NA,NA,4,6,6,6,NA,NA,NA,NA,NA,6
"264",NA,NA,NA,2,NA,NA,NA,7,7,NA,3,6,NA,7,NA,NA
"265",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,4,6,5,NA,8,4
"266",NA,NA,8,NA,NA,NA,6,NA,NA,NA,NA,4,NA,2,3,6
"267",4,2,NA,NA,NA,NA,6,NA,NA,NA,4,4,3,NA,NA,NA
"268",NA,NA,7,NA,7,NA,2,2,2,NA,6,NA,NA,NA,NA,NA
"269",NA,NA,8,NA,7,NA,NA,NA,NA,8,NA,7,5,NA,NA,7
"270",NA,NA,NA,4,8,NA,NA,7,7,8,NA,NA,NA,7,NA,NA
"271",2,NA,7,5,NA,NA,NA,4,NA,NA,NA,NA,NA,3,8,NA
"272",NA,NA,NA,6,7,NA,NA,4,8,2,NA,NA,6,NA,NA,NA
"273",NA,NA,NA,NA,NA,NA,6,NA,7,NA,5,9,9,NA,NA,6
"274",NA,NA,NA,6,NA,8,NA,8,6,NA,NA,NA,NA,8,NA,6
"275",8,9,8,NA,NA,NA,6,NA,NA,NA,2,NA,3,NA,NA,NA
"276",NA,NA,NA,6,NA,NA,6,NA,3,NA,NA,4,NA,4,8,NA
"277",2,NA,4,NA,5,NA,NA,6,2,NA,NA,NA,NA,NA,NA,7
"278",3,NA,8,NA,7,6,4,4,NA,NA,NA,NA,NA,NA,NA,NA
"279",NA,NA,NA,NA,7,7,NA,NA,NA,5,NA,4,7,NA,7,NA
"280",NA,NA,NA,NA,NA,NA,2,7,NA,NA,2,NA,2,NA,6,3
"281",7,NA,6,NA,6,NA,6,NA,NA,NA,5,NA,NA,NA,8,NA
"282",NA,NA,NA,4,NA,NA,6,7,4,4,NA,NA,NA,5,NA,NA
"283",NA,7,NA,2,NA,NA,NA,8,NA,NA,4,NA,3,NA,NA,6
"284",NA,NA,NA,NA,NA,7,6,6,4,NA,NA,NA,NA,6,8,NA
"285",5,NA,7,NA,NA,8,NA,NA,3,NA,NA,NA,NA,NA,5,8
